,keyword,cnt
0,평화,24
1,폭력,24
2,미래,21
3,대한민국,18
4,우리,17
5,가치,15
6,희생,15
7,힘,15
8,공동체,14
9,갈등,13
10,과정,13
11,유공,11
12,길,10
13,향,9
14,사회,9
15,사랑,8
16,과거,8
17,역사,8
18,그것,7
19,국민,7
