,keyword,cnt
0,혁명,10
1,우리,10
2,노력,10
3,여러분,10
4,유공,10
5,코로나,9
6,새해,9
7,모든,7
8,신축년,6
9,대한민국,6
10,실천,5
11,참전,5
12,지원,5
13,회장,5
14,정권,5
15,극복,4
16,기원,4
17,목숨,4
18,모두,4
19,특수,4
