,keyword,cnt
0,세계,36
1,국제보훈,25
2,참전,22
3,한국,19
4,전쟁,17
5,국제,16
6,평화,16
7,우리,13
8,마스크,12
9,미래,12
10,전국,12
11,유엔,11
12,외교,10
13,의미,10
14,지원,10
15,희생,9
16,대사,8
17,발전,7
18,가치,7
19,시민,6
