,keyword,cnt
0,혁명,17
1,우리,13
2,새해,12
3,단체,9
4,유공,7
5,민주,7
6,코로나,7
7,역사,6
8,여러분,6
9,정신,6
10,민주주의,5
11,변화,5
12,위기,5
13,희생,4
14,재일학도의용군,4
15,참전,4
16,힘,4
17,유족,4
18,사업,4
19,애국심,3
