,keyword,cnt
0,건립,8
1,황기철,6
2,올해,6
3,대면,6
4,비,6
5,여러분,6
6,예산,5
7,유공,5
8,국민,5
9,시대,5
10,편성,5
11,업무,5
12,지원,5
13,참전,4
14,독립,4
15,호국,4
16,민주,4
17,참전용사,4
18,코로나,4
19,국가보훈처장,4
