,keyword,cnt
0,부상,10
1,선생,9
2,육군,9
3,추모식,9
4,한족,7
5,진술,7
6,안중근,7
7,복무,6
8,독립운동,6
9,연합,6
10,전역,6
11,위원회,6
12,의사,6
13,해병대,5
14,중위,5
15,의병,5
16,안창호,5
17,재미,5
18,부위,5
19,서울,4
