keyword,cnt
단체,34
설립,14
개,13
공법,11
유공,9
지원,8
국가,7
회장,7
상이,6
마스크,6
공포,5
민주화,5
회원,5
운동,5
활동,5
관련,5
준비,5
부상,4
추진,4
전달,4
