keyword,cnt
혁명,17
우리,13
새해,12
단체,9
회원,9
국가,7
유공,7
민주,7
코로나,7
정신,6
여러분,6
역사,6
변화,5
위기,5
민주주의,5
사업,4
참전,4
힘,4
희생,4
재일학도의용군,4
