,keyword,cnt
0,흥부,11
1,만세,8
2,독립,8
3,장터,6
4,운동,6
5,기념,4
6,울진군,3
7,시장,3
8,공원,3
9,향,3
10,벽,3
11,명의,2
12,주탑,2
13,지역,2
14,선열,2
15,탑,2
16,대표,2
17,북면,2
18,군민,2
19,화산,2
