,keyword,cnt
0,참전,44
1,유공,35
2,등록,19
3,발굴,13
4,기록,11
5,전쟁,11
6,확인,11
7,군인,9
8,자료,7
9,신상,7
10,확보,6
11,미등록,6
12,예,5
13,대해,5
14,사실,4
15,인정,4
16,여부,4
17,거주지,4
18,제적,4
19,사관학교,3
