,keyword,cnt
0,돈키호테,12
1,춤,9
2,니키,9
3,키트리,8
4,사람,7
5,바질,7
6,바야데르,6
7,사랑,6
8,솔로르,6
9,파드되,5
10,발레,5
11,스페인,4
12,인도,4
13,결혼,4
14,고난,4
15,무희,4
16,무대,4
17,음악,3
18,명의,3
19,등장,3
