,keyword,cnt
0,생명,10
1,자연,8
2,우리,7
3,세상,6
4,작가,5
5,소리,4
6,삶,4
7,모든,4
8,집,4
9,독종,4
10,미물,4
11,박경리,4
12,이야기,4
13,세계,3
14,볼,3
15,자신,3
16,곡선,3
17,마지막,3
18,아픔,3
19,남편,3
