,keyword,cnt
0,프랑스,18
1,참전용사,13
2,훈장,7
3,박동하,7
4,전투,7
5,운동,6
6,훈지,6
7,북부,6
8,박민준,6
9,행사,6
10,당시,6
11,대대,5
12,군사,5
13,독립,4
14,만세,4
15,전우,4
16,병영,4
17,봄꽃,4
18,감사,3
19,지청장,3
