,keyword,cnt
0,교육,26
1,제작,14
2,자료,11
3,역사,9
4,사랑,8
5,학습,8
6,현장,7
7,영상,7
8,활용,7
9,교과서,7
10,교육방송,7
11,보훈교육,6
12,콘텐츠,6
13,예정,6
14,발간,5
15,우리,5
16,대상,5
17,잡지,5
18,어린이,5
19,프로그램,4
