,keyword,cnt
0,하늘,5
1,가득,3
2,세상,3
3,새해,2
4,우리,2
5,강릉,2
6,태양,2
7,작가,2
8,한국,1
9,유공,1
10,서예,1
11,유평,1
12,스토리,1
13,협회,1
14,태민,1
15,광경,1
16,바닷가,1
17,초대,1
18,기원,1
19,국민,1
