,keyword,cnt
0,마량,10
1,선생,10
2,산,10
3,전투,8
4,다혁당,6
5,차,6
6,영국,5
7,대구,4
8,결성,4
9,권쾌복,4
10,유흥수,4
11,훈장,4
12,독립,3
13,정부,3
14,건국,3
15,수여,3
16,중공군,3
17,활동,3
18,학교,3
19,사범,3
