,keyword,cnt
0,수호,12
1,대통령,9
2,유공,9
3,서해,9
4,우리,8
5,명패,8
6,정부,6
7,유족,6
8,장병,5
9,안보,5
10,군경,4
11,기념,4
12,국민,4
13,순직,4
14,영웅,4
15,전몰,4
16,해군,4
17,참석,3
18,문재인,3
19,부활,3
