,keyword,cnt
0,나물,7
1,자세,6
2,허리,6
3,도움,6
4,몸,6
5,봄나물,5
6,실종선고,5
7,비타민,5
8,취나물,4
9,차량,4
10,실종,4
11,개시,4
12,상속,4
13,머리,4
14,명의,4
15,향,4
16,유지,4
17,씀바귀,4
18,유의,3
19,살짝,3
