,keyword,cnt
0,기념일,30
1,민주,28
2,우리,17
3,기념,16
4,미래,14
5,독립,13
6,운동,12
7,호국,12
8,위기,11
9,민족,10
10,가치,10
11,역사,10
12,통일,9
13,정부,9
14,국민,8
15,땅,8
16,과거,8
17,국경일,7
18,시대정신,7
19,각각,7
